# Catálogo de FIIs e FIAGROs (asset_class=fii|fiagro)
#
# Arquivo gerado/atualizado pelo crawler do FundsExplorer:
#   uv run python scripts/crawler/fundsexplorer/generate_fiis_csv.py
#
# O crawler é não-destrutivo: nunca sobrescreve uma célula já preenchida
# (ex.: reclassificação manual de FII → FIAGRO permanece intacta).
#
# Schema canônico: ver data/asset_catalog/README.md.
ticker,cnpj,razao_social,asset_class,sector_category,sector_subcategory,site_ri,fonte
CCRF11,40.011.268/0001-43,CANVAS CRI,fii,Papel,Papéis,,FundsExplorer 2026-05
CCVA11,52.713.882/0001-36,Canuma Capital Renda Varejo,fii,Tijolo,,,FundsExplorer 2026-05
CDHY11,,,fii,Papel,Papéis,,FundsExplorer 2026-05
CENU11,37.899.356/0001-19,CENU - FDO DE INV IMOB,fii,Tijolo,Lajes Corporativas,,FundsExplorer 2026-05
CEOC11,15.799.397/0001-09,Cyrela Commercial Properties,fii,Tijolo,Lajes Corporativas,,FundsExplorer 2026-05
CEOC11B,,FII CEO CCP,fii,Outros,,,FundsExplorer 2026-05
CFHI11,34.508.923/0001-70,CF2 FUNDO DE INVESTIMENTO IMOBILIÁRIO,fii,Tijolo,Fundo de Desenvolvimento,,FundsExplorer 2026-05
CFII11,41.325.993/0001-59,FII CF3 IMOB,fii,Fundo Misto,,,FundsExplorer 2026-05
CIXF11,,,fii,Fundo Misto,multiestratégia,,FundsExplorer 2026-05
CIXM11,48.389.780/0001-30,CIX MUIRAQUITAN FDO DE INV IMOB,fii,Fundo Misto,Misto,,FundsExplorer 2026-05
CIXR11,47.086.230/0001-89,CIX RENDIMENTO FUNDO DE INVESTIMENTO IMOBILIÁRIO,fii,Sem categoria,,,FundsExplorer 2026-05
CJCT11,10.347.985/0001-80,CIDADE JARDIM CONTINENAL TOWER,fii,Tijolo,Lajes Corporativas,,FundsExplorer 2026-05
CJFI11,23.582.914/0001-03,FDO INV IMOB CJ,fii,Fundo Misto,Misto,,FundsExplorer 2026-05
CLIN11,49.005.348/0001-60,CLAVE ÍNDICES DE PREÇOS FDO DE INV IMOB,fii,Papel,Fundo de Fundos,,FundsExplorer 2026-05
CLSM11,,,fii,Tijolo,Imóveis Industriais e Logísticos,,FundsExplorer 2026-05
CNES11,13.551.286/0001-45,CENESP,fii,Tijolo,Lajes Corporativas,,FundsExplorer 2026-05
CNES11B,,FII CENESP,fii,Outros,,,FundsExplorer 2026-05
COPP11,48.916.699/0001-60,CORPORATE OFFICE PROPERTIES FII - FDO DE INV IMOB,fii,Sem categoria,Lajes Corporativas,,FundsExplorer 2026-05
CORM11,,CORE METROPOLIS FUNDO DE INVESTIMENTO IMOBILIÁRIO,fii,Tijolo,Lajes Corporativas,,FundsExplorer 2026-05
CPFF11,34.081.611/0001-23,CAPITÂNIA REIT FOF - FDO. INVEST. IMOB,fii,Fundo de Fundos,Fundo de Fundos,,FundsExplorer 2026-05
CPFO11,48.916.246/0001-34,CAPITÂNIA REIT FOF - FDO INV IMOB II,fii,Sem categoria,Fundo de Fundos,,FundsExplorer 2026-05
CPLG11,52.371.756/0001-40,CAPITÂNIA LOGÍSTICA FDO DE INV IMOB,fii,Tijolo,Misto,,FundsExplorer 2026-05
CPOF11,48.916.699/0001-60,CAPITÂNIA OFFICE FII - FDO DE INV IMOB,fii,Tijolo,Misto,,FundsExplorer 2026-05
